Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"34B","34-B","140","4210103402000","42","101",1445,1445,1387,58,0,427,427,393,34,34,0,393,209,184
"34C","34-C","140","4210103403000","42","101",1454,1454,1364,90,0,414,414,377,37,37,0,377,202,175
"34D","34-D","140","4210103404000","42","101",3499,3499,3458,40,1,904,904,881,23,23,0,881,591,290
"34E","34-E","140","4210103405000","42","101",5175,5175,5099,76,0,1288,1288,1247,41,41,0,1247,707,540
"34F","34-F","140","4210103406000","42","101",7679,7679,7583,96,0,1974,1974,1897,77,74,3,1897,818,1079
"34G","34-G","140","4210103407000","42","101",11,11,11,0,0,3,3,3,0,0,0,3,0,3
"34H","34-H","140","4210103408000","42","101",15457,15457,13524,1931,2,3996,3996,3845,151,139,12,3845,1720,2125
"34I","34-I","140","4210103409000","42","101",19999,19999,18056,1927,16,5816,5816,5522,294,274,20,5522,2612,2910
"34J","34-J","140","4210103410000","42","101",2892,2892,2790,102,0,959,959,874,85,81,4,874,348,526
"34K","34-K","140","4210103411000","42","101",101,101,90,11,0,25,25,23,2,2,0,23,18,5
"34L","34-L","140","4210103412000","42","101",5,5,5,0,0,1,1,1,0,0,0,1,0,0
"34M","34-M","140","4210103413000","42","101",12516,12516,12506,8,2,2977,2977,2893,84,79,5,2893,1507,1386
"34N","34-N","140","4210103414000","42","101",90,90,89,1,0,18,18,17,1,0,1,17,10,7
"34O","34-O","140","4210103415000","42","101",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"34P","34-P","140","4210103416000","42","101",13789,13789,8809,4963,17,3507,3507,3352,155,150,5,3352,1191,2161
"34Q","34-Q","140","4210103417000","42","101",13333,13333,3381,9947,5,3207,3207,3126,81,78,3,3126,918,2208
"35A","35-A","140","4210103501000","42","101",235,235,220,15,0,34,34,32,2,1,1,32,17,15
"35B","35-B","140","4210103502000","42","101",138,138,138,0,0,36,36,36,0,0,0,36,18,18
